,url,date,source,context,main,detail,agreement
0,https://x.com/1hhaa_/status/1753732366928134615?s=20,2024-02-03,X,보는동안 너무 행복했고 초콜렛이 너무 먹고싶었고 티모시가 잘생겼고 울어!!하는부분이 있어서 울었다네요,기쁨,만족감,70.0
1,https://x.com/makki_home/status/1755218116504928577?s=20,2024-02-07,X,어릴 때 가 보고 빕스는 거의 처음인데(기억에 없음) 지금 딸기축제 기간이라 만족스러운 식사 하고 옴,기쁨,만족감,100.0
2,https://x.com/302NOW/status/1755393581018447888?s=20,2024-02-08,X,"미리 계좌로 환전해둔 돈을 해외에서 환전수수료 없이 인출 가능한 트레블로그라는 카드인데, 선택할 수 있는 디자인 중에 이 여권 스타일이 너무 센스 있고 유니크해서 마음에 든다.",기쁨,만족감,100.0
3,https://x.com/Hassen_cos/status/1755645988579274957?s=20,2024-02-09,X,요즘 번아웃도 자꾸 올라오고 무기력해서 종강하고 교류하기도 버거운 상태가 와부렀으요ㅠㅠ ,슬픔,무기력,80.0
4,https://x.com/ssosohae1/status/1756182210594689118?s=20,2024-02-10,X,크라임씬 장똥민이 범행 도구 찾으려고 화장실 탱크 뒤지는데 거기에 진짜 똥 넣어놓은 거 진짜 웃겨 뒤지겠음ㅋㅋㅋㅋㅋ,기쁨,즐거움,70.0
5,https://x.com/LAS234152/status/1756572756530065526?s=20,2024-02-11,X,"가슴이 답답해짐 진짜 개답답해짐
우리진짜투표잘하자",싫어함(상태),답답함,50.0
6,https://x.com/_SUANG_/status/1756380145211121829?s=20,2024-02-11,X,"도가니 이후로 이렇게 분노만 가득 남은 영화는 오랜만,,,,,,,,,,진짜 뭐 하나 때려뿌수고싶어서 포스터 구멍낸 사람들 양반으로 느껴질 지경",분노,타오름,60.0
7,https://x.com/snowdoesnot/status/1756919014583079161?s=20,2024-02-12,X,"지그재그랑 에이블리랑 할인 대결하나
아 흐뭇해
계속되길...
영원히....",기쁨,만족감,45.0
8,https://x.com/streetomato/status/1757000614759047227?s=20,2024-02-12,X,나는 솔직히 미인대회도 소름이지만 이때 도파민 쳐돌았음 크루즈에서 크라임씬 최초 연속 살인 사건 발생한거,기쁨,즐거움,25.0
9,https://x.com/baegopeudago/status/1757414748361261181?s=20,2024-02-13,X,"어쩌라는 건지 다 말해놓고 기분나쁘게 받아들이지말라어쩌고
꿀밤 개씨게때려야함",분노,불쾌,35.0
10,https://x.com/Q00__O/status/1757325042416005509?s=20,2024-02-13,X,"사진찍은꼴봐라
열받음",분노,타오름,55.00000000000001
11,https://x.com/dog_nyang/status/1757420248591188412?s=20,2024-02-14,X,"첨으로 수제 초콜릿 만듬
초콜릿을 5시간이나 만드는 사람이 있다??? 그게 바로 나",기쁨,자랑스러움,45.0
12,https://x.com/simhaesony2/status/1757419995443982584?s=20,2024-02-14,X,단톡방에 공지들 슬슬 올라오는거 보니까 곧 개강이라는게 실감나서 갑자기 재기하고싶고 인생이 다 끝난거처럼 암울해짐,슬픔,절망,45.0
13,https://x.com/onmyeon72/status/1757430272864509998?s=20,2024-02-14,X,"장흥신 공손한 손가락질 개웃겨요
애드립 미친것 같음",기쁨,즐거움,80.0
14,https://x.com/nenne_zZ/status/1757954676069380203?s=20,2024-02-15,X,회사사람이 이 명함케이스 주면서 포장 뜯어보면 넘 구려서 깜짝 놀랄 거라고 했는데 나... 마음에 든다... ?,기쁨,만족감,70.0
15,https://x.com/hmloverclub/status/1758014963430617320?s=20,2024-02-15,X,미친새끼 4강전만 안좋았던거 아니고 그전부터 안좋았던걸 사람들이 다봤는데 지 책임 없다고 쏙 빠져나가려고 지랄하네,미움(상대방),치사함,35.0
16,https://x.com/kyungeil10/status/1757990540120093037?s=20 ,2024-02-15,X,나 현장에서 엄청 헤맬 거 같은데 ㅠ,두려움,걱정,100.0
17,https://x.com/meowlife_/status/1757987633727524885?s=20,2024-02-15,X,보라색 교복 치니까 이런거만 뜨는데 지금 이걸 입으라는거예요?,수치심,부끄러움,30.0
18,https://x.com/goolddie/status/1757795406468325480?s=20,2024-02-15,X,"우연히 보게 된 영상인데, 노래가 너무 좋아서 플리에도 추가하고, 카카오톡 프뮤로도 해놨음. 음원도 좋긴 한데 이 라이브가 훨씬 훨씬 마음에 들었음.",기쁨,만족감,100.0
19,https://x.com/novgusa22/status/1757991111065317402?s=20,2024-02-15,X,"일본은 근무시간에 개인메세지 안 한다고??? 신기
애초에 개인 메세지 도구인 카카오톡으로 업무를 하는데 친구랑 카톡 안 할거라고 생각하는게 이상한거 아님?",욕망,궁금함,50.0
20,https://x.com/Kanginlee_wife_/status/1757748341079953792?s=20,2024-02-15,X,아니 미친 그럼 이강인 파리에서  바이러스 감염된채로 기사들 보고 골골 앓으면서 사과문 쓴거야 ?,두려움,놀람,41.66666666666667
21,https://x.com/danmusk4680/status/1757780435789390081?s=20,2024-02-15,X,개인적으로 황정민의 감정 과잉 연기는 다 비슷한 것 같음. 대머리 말고는 전두환이랑 느낌이 너무 달라서 몰입이 안됨,욕망,아쉬움,25.0
22,https://x.com/michinsu/status/1757790964046049298?s=20 ,2024-02-15,X,"대학에 붙었는데 아무 생각없음.
사실 가기싫고 평생 멍청이 백수로 살고싶음
엉엉 공부하기 싫어요ㅜㅜ",싫어함(상태),싫증,10.0
23,https://x.com/lalapesto/status/1757809796810756350?s=20,2024-02-15,X,"황의조한테 pk 주라고 깝댄 것도 웃긴데 
이것도 어이 없지",싫어함(상태),답답함,15.0
24,https://x.com/omakaseson/status/1757956471877460394?s=20,2024-02-15,X,그냥 국대 제외 아무도 몰랐어야 할 사실을 알게 돼서 이 꼬락서니 난 게 짜증남,분노,불쾌,50.0
25,https://x.com/realfantasy_jin/status/1755107396350087207?s=20,2024-02-07,X,아드님 전역 축하드려요! 건강히 잘 있다 나오는거죠? 우리 석진이한테도 빨리 희망이 보이기를,기쁨,공감,45.0
26,https://x.com/juraging/status/1755477354540130675?s=20,2024-02-08,X,진지하게 요새 누가 마룬파이브같은걸 24만원주고 보는거임?,욕망,궁금함,25.0
27,https://x.com/iamkimgosu/status/1756980375384101130?s=20,2024-02-12,X,"아니 점심장사만 한다고? 이시간네 만석이라고? 정말 여기는 뭐야 이렇게 인기인데
핸드메이드 칼국수야
젼나 맛있는데 사장님이 적당히 맛있다고
그정도는 아니라고 남겨달래 ㅋㅋㅋㅋㅋㅋㅋㅋ",기쁨,만족감,75.0
28,https://x.com/hosssikk/status/1757343346627141681?s=20,2024-02-13,X,게임을 왜 하는 거지...? 스트레스 받는데…,분노,타오름,20.0
29,https://x.com/zeuschauer/status/1755228724080099598?s=20 ,2024-02-07,X,"이렇게까지 재밌을줄은 몰랐음
헉 엠씨 없이 진행하나??
했는데 둘의 티키타카가 미쳤음",기쁨,즐거움,80.0
30,https://x.com/Konglinthebeta/status/1756688383513067693?s=20,2024-02-11,X,"개듣보브랜드 싸가지봐라….
그냥 올리브영 없애고 에뛰드 이니스프리 미샤
부활시켜서 로드샵전성기로 돌아가야 정신차리지?",분노,불쾌,55.00000000000001
31,https://x.com/sxxxx_q/status/1757762234980417799?s=20,2024-02-14,X,설탕 스틱 껴준거 센스 백점 만점에 천점,기쁨,감동,65.0
32,https://x.com/hana_YNHS/status/1758045399724773594?s=20,2024-02-15,X,애두라 올리브영 가면 아거 무조건 사모거야대 넘모 마싯다,기쁨,만족감,100.0
33,https://x.com/jongjin_choi_kr/status/1755241870891123157?s=20,2024-02-07,X,찾아보니 올리브영이다. 향수에도 학벌 마케팅을 하는 그 수준이 조금 안타깝다. ,미움(상대방),냉담,40.0
34,https://x.com/sukchichi/status/1757664975185903674?s=20,2024-02-14,X,말이대는소리를 하세요 님들아 라벨에 샤워젤리라고 떡하니 써놨는데 이걸왜모르겠냐고 걍 저사람이 개빡대가리인거지,미움(상대방),경멸,30.0
35,https://x.com/17maenae/status/1756269955375632754?s=20,2024-02-10,X,혼을 실어 넘기고 볼륨넣고 한올한올 컬줘서 고정시킨 풍성금발에 빡센이목구비랑 피어싱까지 백사자스타일링 이 날 진짜 아름답다,사랑,매력적,100.0
36,https://x.com/kangji_save/status/1757780198127554875?s=20,2024-02-14,X,이런 미친 유퀴즈 강지영???? 이렇게 깜짝 선물을 들고 와주신다고요???!!!!!!!!!!!!!,기쁨,반가움,70.0
37,https://x.com/now_t1/status/1757728152259101103?s=20,2024-02-14,X,"난 이걸 프로씬에서 볼줄 몰랐어 그 무지게맛 유툽에서나 봤었지...
이걸 해내는 미친듀오들아.... 도대체 얼마나 합이 잘 맞는거야",두려움,놀람,25.0
38,https://x.com/achu_0u0/status/1757760671687561419?s=20,2024-02-14,X,"이집트 즐겁게 여행하다가 오늘 하룻동안 미친 사기꾼들 3명 만나서 
영어로 뭐라뭐라 하다가 안돼서 한국어로 욕 함…… ",분노,타오름,30.0
39,https://x.com/peachbunnyari/status/1757919499435811239?s=20 ,2024-02-15,X,가면 쓴 사람의 의상이 일본군 제복에서 바뀌었네요 옛날처럼 일본내 성적만 올리면 그만이던 시대는 지나갔고 한국과 중국에서 개봉하고 싶다면 당연히 이랬어야 한다고 봐요,중립,만족감,33.33333333333333
40,https://x.com/jooocin/status/1758070027885146159?s=20,2024-02-15,X,아 잠만 진짜 마지막에웃는거너무너무너무너무사랑스러워 미친.........ㅠ,사랑,매력적,55.00000000000001
41,https://x.com/milky__angel/status/1757764666749755713?s=20,2024-02-15,X,아니미친ㅋㅋㅋㅋㅋㅋㅋ 이건 볼 때 마다 개웃기네 진짜,기쁨,즐거움,70.0
42,https://x.com/foodiefairy22/status/1758026521586127257?s=20,2024-02-15,X,"초대박 귀여운 강아디도 있음 우리 자리 와서 인사도 해줌 .. 🥹
좌석이 약간 당황스러운 것 말고 다 좋았던 카페",기쁨,만족감,60.0
43,https://x.com/nataliebangg/status/1756897282237321387?s=20,2024-02-12,X,애슐리 딸기축제 나름 괜춘하다,기쁨,만족감,100.0
44,https://x.com/kim_chunbong/status/1755533134794555479?s=20,2024-02-08,X,"얘들아 딸기축제인가 딸기장례식인가는 뭐 가지마라
어우 별로를 넘어서 아깝다 그냥",욕망,불만,60.0
45,https://x.com/25s_oad/status/1756743526984077778?s=20 ,2024-02-12,X,살인자ㅇ난감 살인장면중 가장 새롭고 신선한 연출이라 감독님이 말한 팝하다는 연출 뭔지 알꺼 같았음 살인장면에서 볼수 없는 노래와 색감 잔인하지 않아 더 잔혹하게 보이는 효과까지,기쁨,공감,16.666666666666664
46,https://x.com/jeon2geung2/status/1757286238430925139?s=20 ,2024-02-13,X,팀장이 하루종일 콧노래 부르는데 그를 죽여버리고 싶음 미친새끼 아니냐 여기가 코노냐고 그럼 돈내고 하라고,미움(상대방),경멸,20.0
