,created_date,source,context,annotation
0,2024-02-03,X,보는동안 너무 행복했고 초콜렛이 너무 먹고싶었고 티모시가 잘생겼고 울어!!하는부분이 있어서 울었다네요,"[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_감동', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_감동', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
1,2024-02-07,X,어릴 때 가 보고 빕스는 거의 처음인데(기억에 없음) 지금 딸기축제 기간이라 만족스러운 식사 하고 옴,"[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
2,2024-02-08,X,"미리 계좌로 환전해둔 돈을 해외에서 환전수수료 없이 인출 가능한 트레블로그라는 카드인데, 선택할 수 있는 디자인 중에 이 여권 스타일이 너무 센스 있고 유니크해서 마음에 든다.","[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
3,2024-02-09,X,요즘 번아웃도 자꾸 올라오고 무기력해서 종강하고 교류하기도 버거운 상태가 와부렀으요ㅠㅠ ,"[{'annotator': '', 'emotion': '슬픔_무기력', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_무기력', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_무기력', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_무기력', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_무기력', 'gender': ''}]"
4,2024-02-10,X,크라임씬 장똥민이 범행 도구 찾으려고 화장실 탱크 뒤지는데 거기에 진짜 똥 넣어놓은 거 진짜 웃겨 뒤지겠음ㅋㅋㅋㅋㅋ,"[{'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_통쾌함', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_통쾌함', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}]"
5,2024-02-11,X,"가슴이 답답해짐 진짜 개답답해짐
우리진짜투표잘하자","[{'annotator': '', 'emotion': '싫어함(상태)_답답함', 'gender': ''}, {'annotator': '', 'emotion': '분노_답답함', 'gender': ''}, {'annotator': '', 'emotion': '분노_타오름', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_답답함', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_답답함', 'gender': ''}]"
6,2024-02-11,X,"도가니 이후로 이렇게 분노만 가득 남은 영화는 오랜만,,,,,,,,,,진짜 뭐 하나 때려뿌수고싶어서 포스터 구멍낸 사람들 양반으로 느껴질 지경","[{'annotator': '', 'emotion': '분노_발열', 'gender': ''}, {'annotator': '', 'emotion': '분노_타오름', 'gender': ''}, {'annotator': '', 'emotion': '분노_발열', 'gender': ''}, {'annotator': '', 'emotion': '분노_사나움', 'gender': ''}, {'annotator': '', 'emotion': '분노_타오름', 'gender': ''}]"
7,2024-02-12,X,"지그재그랑 에이블리랑 할인 대결하나
아 흐뭇해
계속되길...
영원히....","[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_신명남', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '욕망_욕심', 'gender': ''}]"
8,2024-02-12,X,나는 솔직히 미인대회도 소름이지만 이때 도파민 쳐돌았음 크루즈에서 크라임씬 최초 연속 살인 사건 발생한거,"[{'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_놀람', 'gender': ''}, {'annotator': '', 'emotion': '욕망_기대감', 'gender': ''}, {'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}]"
9,2024-02-13,X,"어쩌라는 건지 다 말해놓고 기분나쁘게 받아들이지말라어쩌고
꿀밤 개씨게때려야함","[{'annotator': '', 'emotion': '분노_불쾌', 'gender': ''}, {'annotator': '', 'emotion': '분노_날카로움', 'gender': ''}, {'annotator': '', 'emotion': '분노_타오름', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_치사함', 'gender': ''}, {'annotator': '', 'emotion': '분노_불쾌', 'gender': ''}]"
10,2024-02-13,X,"사진찍은꼴봐라
열받음","[{'annotator': '', 'emotion': '분노_발열', 'gender': ''}, {'annotator': '', 'emotion': '분노_날카로움', 'gender': ''}, {'annotator': '', 'emotion': '분노_원망', 'gender': ''}, {'annotator': '', 'emotion': '분노_날카로움', 'gender': ''}, {'annotator': '', 'emotion': '분노_타오름', 'gender': ''}]"
11,2024-02-14,X,"첨으로 수제 초콜릿 만듬
초콜릿을 5시간이나 만드는 사람이 있다??? 그게 바로 나","[{'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}, {'annotator': '', 'emotion': '수치심_부끄러움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}]"
12,2024-02-14,X,단톡방에 공지들 슬슬 올라오는거 보니까 곧 개강이라는게 실감나서 갑자기 재기하고싶고 인생이 다 끝난거처럼 암울해짐,"[{'annotator': '', 'emotion': '슬픔_절망', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_절망', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_무기력', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_답답함', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_절망', 'gender': ''}]"
13,2024-02-14,X,"장흥신 공손한 손가락질 개웃겨요
애드립 미친것 같음","[{'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_통쾌함', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}]"
14,2024-02-15,X,회사사람이 이 명함케이스 주면서 포장 뜯어보면 넘 구려서 깜짝 놀랄 거라고 했는데 나... 마음에 든다... ?,"[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_놀람', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_놀람', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
15,2024-02-15,X,미친새끼 4강전만 안좋았던거 아니고 그전부터 안좋았던걸 사람들이 다봤는데 지 책임 없다고 쏙 빠져나가려고 지랄하네,"[{'annotator': '', 'emotion': '미움(상대방)_치사함', 'gender': ''}, {'annotator': '', 'emotion': '분노_원망', 'gender': ''}, {'annotator': '', 'emotion': '분노_타오름', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_치사함', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_치사함', 'gender': ''}]"
16,2024-02-15,X,나 현장에서 엄청 헤맬 거 같은데 ㅠ,"[{'annotator': '', 'emotion': '두려움_걱정', 'gender': ''}, {'annotator': '', 'emotion': '두려움_걱정', 'gender': ''}, {'annotator': '', 'emotion': '두려움_걱정', 'gender': ''}, {'annotator': '', 'emotion': '두려움_걱정', 'gender': ''}, {'annotator': '', 'emotion': '두려움_걱정', 'gender': ''}]"
17,2024-02-15,X,보라색 교복 치니까 이런거만 뜨는데 지금 이걸 입으라는거예요?,"[{'annotator': '', 'emotion': '수치심_부끄러움', 'gender': ''}, {'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}, {'annotator': '', 'emotion': '수치심_부끄러움', 'gender': ''}, {'annotator': '', 'emotion': '수치심_부끄러움', 'gender': ''}]"
18,2024-02-15,X,"우연히 보게 된 영상인데, 노래가 너무 좋아서 플리에도 추가하고, 카카오톡 프뮤로도 해놨음. 음원도 좋긴 한데 이 라이브가 훨씬 훨씬 마음에 들었음.","[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
19,2024-02-15,X,"일본은 근무시간에 개인메세지 안 한다고??? 신기
애초에 개인 메세지 도구인 카카오톡으로 업무를 하는데 친구랑 카톡 안 할거라고 생각하는게 이상한거 아님?","[{'annotator': '', 'emotion': '욕망_궁금함', 'gender': ''}, {'annotator': '', 'emotion': '욕망_궁금함', 'gender': ''}, {'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}, {'annotator': '', 'emotion': '욕망_궁금함', 'gender': ''}, {'annotator': '', 'emotion': '욕망_궁금함', 'gender': ''}]"
20,2024-02-15,X,아니 미친 그럼 이강인 파리에서  바이러스 감염된채로 기사들 보고 골골 앓으면서 사과문 쓴거야 ?,"[{'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}, {'annotator': '', 'emotion': '분노_원망', 'gender': ''}, {'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}, {'annotator': '', 'emotion': '분노_놀람', 'gender': ''}, {'annotator': '', 'emotion': '분노_놀람', 'gender': ''}]"
21,2024-02-15,X,개인적으로 황정민의 감정 과잉 연기는 다 비슷한 것 같음. 대머리 말고는 전두환이랑 느낌이 너무 달라서 몰입이 안됨,"[{'annotator': '', 'emotion': '욕망_아쉬움', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_싫증', 'gender': ''}, {'annotator': '', 'emotion': '욕망_아쉬움', 'gender': ''}, {'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_불편함', 'gender': ''}]"
